Employment_Type,Education_Level,Job_Stability_Years,Family_Dependents,Monthly_Income,District,House_Ownership_Status,Vehicle_Ownership,Active_Bank_Accounts,Average_Monthly_Expenses,Existing_EMI_Burden,Emergency_Savings_Availability,Utility_Bill_Payment_Regularity,score_income,score_employment,score_education,score_job_stability,score_dependents,score_district,score_credit,score_sentiment,Repayment_Score,repayment_score_out_of_500,repayment_score_percent
Labour,10th,18.1,2,8697,Bhadradri Kothagudem,Family,None,3,3109,2418,No,Regularly Late,8.7,60.0,65.0,90.5,66.67,80.0,72.2,60.0,62.88,314.42,62.88
Government,Graduate,10.04,5,58983,Jagtial,Rent,Car,3,10873,21874,No,Sometimes Late,58.98,100.0,85.0,50.2,16.67,80.0,62.92,60.0,64.22,321.1,64.22
Trader,Graduate,11.62,2,30617,Khammam,Own,Car,4,11943,6919,No,Regularly Late,30.62,85.0,85.0,58.1,66.67,80.0,77.4,60.0,67.85,339.24,67.85
Farmer,Postgraduate,5.49,5,95405,Rangareddy,Family,Car,2,14008,6197,No,Always On Time,95.4,70.0,100.0,27.45,16.67,80.0,93.5,60.0,67.88,339.39,67.88
Labour,Postgraduate,6.13,5,26503,Mahabubabad,Own,2W,4,9020,10519,No,Always On Time,26.5,60.0,100.0,30.65,16.67,80.0,60.31,60.0,54.27,271.33,54.27
Gig Worker,12th,7.97,2,31041,Bhadradri Kothagudem,Rent,2W,4,11574,15008,No,Sometimes Late,31.04,75.0,75.0,39.85,66.67,80.0,51.65,60.0,59.9,299.51,59.9
Trader,12th,13.76,1,82232,Medchal,Family,2W,2,39529,21462,No,Regularly Late,82.23,85.0,75.0,68.8,83.33,80.0,73.9,60.0,76.03,380.17,76.03
Government,Graduate,8.75,0,92750,Mahbubnagar,Own,2W,3,48593,14443,No,Regularly Late,92.75,100.0,85.0,43.75,100.0,80.0,84.43,60.0,80.74,403.71,80.74
Government,10th,5.53,0,73866,Jagtial,Rent,None,3,25123,12165,Yes,Sometimes Late,73.87,100.0,65.0,27.65,100.0,80.0,83.53,60.0,73.76,368.78,73.76
Trader,Graduate,8.02,0,80231,Jagtial,Own,2W,3,10685,2182,Yes,Always On Time,80.23,85.0,85.0,40.1,100.0,80.0,97.28,90.0,82.2,411.01,82.2
Government,Postgraduate,16.05,0,107280,Bhadradri Kothagudem,Rent,Car,2,41306,37606,Yes,Always On Time,100.0,100.0,100.0,80.25,100.0,80.0,64.95,90.0,89.4,447.0,89.4
Government,10th,7.69,1,52036,Medak,Family,Car,3,19357,8980,No,Sometimes Late,52.04,100.0,65.0,38.45,83.33,80.0,82.74,60.0,70.2,350.98,70.2
Farmer,10th,2.62,1,12233,Kamareddy,Rent,None,1,3997,4298,Yes,Sometimes Late,12.23,70.0,65.0,13.1,83.33,80.0,64.87,60.0,56.07,280.33,56.07
Gig Worker,Graduate,1.97,0,107123,Mahabubabad,Family,None,3,58657,44478,Yes,Always On Time,100.0,75.0,85.0,9.85,100.0,80.0,58.48,90.0,74.79,373.96,74.79
Trader,10th,14.7,1,17619,Nalgonda,Family,2W,4,8736,6097,Yes,Always On Time,17.62,85.0,65.0,73.5,83.33,80.0,65.4,90.0,69.98,349.91,69.98
Trader,10th,8.35,0,43002,Mancherial,Rent,Car,4,22592,8040,No,Always On Time,43.0,85.0,65.0,41.75,100.0,80.0,81.3,60.0,69.51,347.53,69.51
Gig Worker,12th,17.18,2,56955,Mahabubabad,Own,Car,1,28324,28028,Yes,Always On Time,56.96,75.0,75.0,85.9,66.67,80.0,50.79,90.0,72.54,362.69,72.54
Government,12th,14.79,1,11846,Adilabad,Own,Car,1,4478,787,Yes,Sometimes Late,11.85,100.0,75.0,73.95,83.33,80.0,93.36,60.0,72.19,360.93,72.19
Gig Worker,12th,1.48,1,101098,Nizamabad,Own,2W,3,33826,20071,Yes,Always On Time,100.0,75.0,75.0,7.4,83.33,80.0,80.15,90.0,73.86,369.3,73.86
Trader,12th,10.51,2,93695,Medak,Family,2W,2,36253,39665,Yes,Regularly Late,93.7,85.0,75.0,52.55,66.67,80.0,57.67,60.0,71.32,356.61,71.32
Farmer,Postgraduate,0.83,2,98643,Bhadradri Kothagudem,Rent,2W,1,23461,39791,No,Always On Time,98.64,70.0,100.0,4.15,66.67,80.0,59.66,60.0,67.39,336.95,67.39
Farmer,Postgraduate,16.25,3,112132,Warangal,Family,None,3,60967,31846,Yes,Regularly Late,100.0,70.0,100.0,81.25,50.0,80.0,71.6,60.0,76.61,383.03,76.61
Gig Worker,12th,8.25,4,87294,Bhadradri Kothagudem,Rent,None,4,33411,11309,No,Always On Time,87.29,75.0,75.0,41.25,33.33,80.0,87.05,60.0,67.37,336.83,67.37
Labour,Postgraduate,1.97,4,45692,Medchal,Family,Car,3,16108,10048,No,Always On Time,45.69,60.0,100.0,9.85,33.33,80.0,78.01,60.0,58.36,291.8,58.36
Gig Worker,Graduate,4.55,2,64251,Rangareddy,Rent,2W,3,20162,9126,No,Regularly Late,64.25,75.0,85.0,22.75,66.67,80.0,85.8,60.0,67.43,337.17,67.43
Labour,12th,10.19,1,119094,Mancherial,Family,None,4,67120,40506,Yes,Regularly Late,100.0,60.0,75.0,50.95,83.33,80.0,65.99,60.0,71.91,359.54,71.91
Labour,Postgraduate,16.91,2,64092,Siddipet,Family,2W,2,21738,18231,No,Always On Time,64.09,60.0,100.0,84.55,66.67,80.0,71.56,60.0,73.36,366.79,73.36
Trader,Graduate,0.63,1,76022,Mahbubnagar,Own,2W,3,17238,28387,Yes,Always On Time,76.02,85.0,85.0,3.15,83.33,80.0,62.66,90.0,70.65,353.23,70.65
Farmer,Graduate,4.53,2,34178,Mancherial,Own,None,4,16573,5813,No,Always On Time,34.18,70.0,85.0,22.65,66.67,80.0,82.99,60.0,62.69,313.43,62.69
Trader,12th,5.11,3,106723,Jagtial,Own,2W,3,23768,41169,Yes,Always On Time,100.0,85.0,75.0,25.55,50.0,80.0,61.42,90.0,70.87,354.36,70.87
Trader,Postgraduate,1.21,5,63668,Karimnagar,Own,Car,2,3415,15885,No,Regularly Late,63.67,85.0,100.0,6.05,16.67,80.0,75.05,60.0,60.8,304.02,60.8
Government,10th,17.9,5,67421,Mahbubnagar,Rent,Car,2,7232,12605,No,Regularly Late,67.42,100.0,65.0,89.5,16.67,80.0,81.3,60.0,69.99,349.93,69.99
Gig Worker,Postgraduate,15.85,3,19478,Mancherial,Own,None,4,4750,3047,Yes,Regularly Late,19.48,75.0,100.0,79.25,50.0,80.0,84.36,60.0,68.51,342.55,68.51
Government,10th,3.13,3,26223,Medchal,Family,None,3,5771,8755,Yes,Regularly Late,26.22,100.0,65.0,15.65,50.0,80.0,66.61,60.0,57.94,289.68,57.94
Farmer,10th,17.05,3,21844,Medak,Family,None,2,8964,3160,Yes,Regularly Late,21.84,70.0,65.0,85.25,50.0,80.0,85.53,60.0,64.7,323.52,64.7
Labour,12th,11.12,4,88359,Nizamabad,Family,None,3,5594,41966,No,Always On Time,88.36,60.0,75.0,55.6,33.33,80.0,52.51,60.0,63.1,315.5,63.1
Farmer,Postgraduate,12.09,3,95446,Rangareddy,Family,2W,4,40316,45366,Yes,Regularly Late,95.45,70.0,100.0,60.45,50.0,80.0,52.47,60.0,71.05,355.23,71.05
Trader,Graduate,11.07,0,101099,Medchal,Family,Car,1,58106,12098,Yes,Regularly Late,100.0,85.0,85.0,55.35,100.0,80.0,88.03,60.0,81.67,408.36,81.67
Gig Worker,10th,18.82,0,32949,Adilabad,Family,None,2,17183,11605,No,Always On Time,32.95,75.0,65.0,94.1,100.0,80.0,64.78,60.0,71.48,357.39,71.48
Government,Postgraduate,18.53,2,115118,Medchal,Family,Car,4,50801,37446,No,Sometimes Late,100.0,100.0,100.0,92.65,66.67,80.0,67.47,60.0,83.35,416.74,83.35
Farmer,10th,10.72,0,22947,Mahabubabad,Rent,2W,1,7832,6424,No,Sometimes Late,22.95,70.0,65.0,53.6,100.0,80.0,72.01,60.0,65.44,327.22,65.44
Gig Worker,12th,2.17,4,110710,Kamareddy,Family,None,3,47546,26478,Yes,Sometimes Late,100.0,75.0,75.0,10.85,33.33,80.0,76.08,60.0,63.78,318.92,63.78
Trader,Postgraduate,4.65,2,94821,Kamareddy,Family,2W,1,4962,24400,No,Regularly Late,94.82,85.0,100.0,23.25,66.67,80.0,74.27,60.0,73.0,365.0,73.0
Trader,Postgraduate,8.95,3,104566,Mahbubnagar,Own,2W,1,58447,23085,No,Sometimes Late,100.0,85.0,100.0,44.75,50.0,80.0,77.92,60.0,74.71,373.55,74.71
Farmer,12th,13.98,5,113870,Jagtial,Family,Car,1,45705,20235,No,Regularly Late,100.0,70.0,75.0,69.9,16.67,80.0,82.23,60.0,69.22,346.12,69.22
Government,12th,0.52,0,106076,Karimnagar,Rent,2W,4,27590,12096,No,Sometimes Late,100.0,100.0,75.0,2.6,100.0,80.0,88.6,60.0,75.77,378.87,75.77
Gig Worker,10th,15.23,0,25146,Khammam,Family,None,2,13614,8378,No,Sometimes Late,25.15,75.0,65.0,76.15,100.0,80.0,66.68,60.0,68.5,342.49,68.5
Government,Postgraduate,3.99,1,73682,Mahbubnagar,Family,2W,4,41566,32618,No,Regularly Late,73.68,100.0,100.0,19.95,83.33,80.0,55.73,60.0,71.59,357.94,71.59
Labour,Graduate,14.38,2,71434,Siddipet,Family,2W,4,18558,11010,No,Always On Time,71.43,60.0,85.0,71.9,66.67,80.0,84.59,60.0,72.45,362.24,72.45
Farmer,12th,1.27,4,103935,Nalgonda,Own,2W,2,4766,41306,No,Sometimes Late,100.0,70.0,75.0,6.35,33.33,80.0,60.26,60.0,60.62,303.09,60.62
Government,Graduate,0.06,1,85070,Jagtial,Rent,None,4,32599,13200,Yes,Always On Time,85.07,100.0,85.0,0.3,83.33,80.0,84.48,90.0,76.02,380.12,76.02
Labour,Graduate,18.66,0,110854,Mahabubabad,Rent,None,2,34118,53573,No,Regularly Late,100.0,60.0,85.0,93.3,100.0,80.0,51.67,60.0,78.75,393.73,78.75
Government,Graduate,15.68,3,68039,Siddipet,Family,2W,2,17107,27347,Yes,Regularly Late,68.04,100.0,85.0,78.4,50.0,80.0,59.81,60.0,72.66,363.28,72.66
Gig Worker,10th,13.38,1,117797,Nalgonda,Rent,None,1,11620,47330,Yes,Sometimes Late,100.0,75.0,65.0,66.9,83.33,80.0,59.82,60.0,73.76,368.78,73.76
Government,12th,15.97,1,36131,Bhadradri Kothagudem,Rent,2W,2,3481,675,No,Always On Time,36.13,100.0,75.0,79.85,83.33,80.0,98.13,60.0,76.56,382.78,76.56
Government,12th,14.02,5,18115,Warangal,Family,Car,1,6522,1872,Yes,Regularly Late,18.12,100.0,75.0,70.1,16.67,80.0,89.67,60.0,63.69,318.47,63.69
Government,Graduate,4.08,2,18756,Mahbubnagar,Family,Car,2,8203,7354,No,Sometimes Late,18.76,100.0,85.0,20.4,66.67,80.0,60.79,60.0,61.45,307.26,61.45
Labour,Graduate,18.64,3,46694,Bhadradri Kothagudem,Family,None,1,27038,20626,Yes,Sometimes Late,46.69,60.0,85.0,93.2,50.0,80.0,55.83,60.0,66.34,331.7,66.34
Labour,Graduate,18.31,4,78974,Khammam,Rent,Car,1,26937,27680,No,Always On Time,78.97,60.0,85.0,91.55,33.33,80.0,64.95,60.0,69.23,346.13,69.23
Gig Worker,12th,11.2,0,109870,Warangal,Own,Car,3,15244,14081,Yes,Regularly Late,100.0,75.0,75.0,56.0,100.0,80.0,87.18,60.0,79.15,395.74,79.15
Labour,10th,5.0,5,103859,Khammam,Rent,None,3,54120,20087,No,Always On Time,100.0,60.0,65.0,25.0,16.67,80.0,80.66,60.0,60.92,304.58,60.92
Labour,12th,4.92,1,8025,Hyderabad,Own,None,2,4421,962,Yes,Sometimes Late,8.02,60.0,75.0,24.6,83.33,80.0,88.01,60.0,59.87,299.36,59.87
Labour,Postgraduate,0.3,0,102414,Mahbubnagar,Family,2W,4,16889,13072,No,Always On Time,100.0,60.0,100.0,1.5,100.0,80.0,87.24,60.0,73.59,367.96,73.59
Trader,12th,17.26,2,27267,Rangareddy,Family,2W,3,5482,10794,Yes,Always On Time,27.27,85.0,75.0,86.3,66.67,80.0,60.42,90.0,71.33,356.66,71.33
Government,10th,10.5,0,67166,Warangal,Family,None,2,21871,2927,No,Sometimes Late,67.17,100.0,65.0,52.5,100.0,80.0,95.64,60.0,77.54,387.69,77.54
Government,Postgraduate,15.51,2,49856,Bhadradri Kothagudem,Family,2W,4,22548,4527,No,Regularly Late,49.86,100.0,100.0,77.55,66.67,80.0,90.92,60.0,78.12,390.62,78.12
Gig Worker,12th,11.05,2,104571,Medchal,Own,None,1,10507,41677,No,Sometimes Late,100.0,75.0,75.0,55.25,66.67,80.0,60.15,60.0,71.51,357.54,71.51
Trader,Graduate,13.21,2,12797,Karimnagar,Rent,Car,2,6517,2501,No,Regularly Late,12.8,85.0,85.0,66.05,66.67,80.0,80.46,60.0,67.0,334.98,67.0
Gig Worker,Graduate,0.96,1,32056,Siddipet,Rent,Car,3,18734,4735,Yes,Always On Time,32.06,75.0,85.0,4.8,83.33,80.0,85.23,90.0,66.93,334.64,66.93
Labour,10th,16.67,5,27404,Mancherial,Family,None,3,14324,1275,No,Always On Time,27.4,60.0,65.0,83.35,16.67,80.0,95.35,60.0,60.97,304.86,60.97
Gig Worker,Graduate,5.29,1,16427,Mahabubabad,Own,None,3,6933,1909,Yes,Always On Time,16.43,75.0,85.0,26.45,83.33,80.0,88.38,90.0,68.07,340.37,68.07
Farmer,10th,18.68,4,66072,Mahbubnagar,Family,None,2,24538,22330,Yes,Regularly Late,66.07,70.0,65.0,93.4,33.33,80.0,66.2,60.0,66.75,333.76,66.75
Trader,Graduate,3.45,3,89735,Khammam,Family,None,4,34405,19499,Yes,Regularly Late,89.74,85.0,85.0,17.25,50.0,80.0,78.27,60.0,68.16,340.78,68.16
Trader,Postgraduate,18.16,4,100708,Mancherial,Rent,2W,3,10014,17183,No,Sometimes Late,100.0,85.0,100.0,90.8,33.33,80.0,82.94,60.0,79.01,395.04,79.01
Government,12th,18.41,4,20589,Rangareddy,Family,Car,3,3299,9887,Yes,Always On Time,20.59,100.0,75.0,92.05,33.33,80.0,51.98,90.0,67.87,339.35,67.87
Labour,12th,19.32,3,41782,Adilabad,Own,None,3,13044,17179,Yes,Sometimes Late,41.78,60.0,75.0,96.6,50.0,80.0,58.89,60.0,65.28,326.42,65.28
Gig Worker,Postgraduate,1.13,2,22277,Adilabad,Own,Car,1,10110,6370,No,Always On Time,22.28,75.0,100.0,5.65,66.67,80.0,71.41,60.0,60.13,300.63,60.13
Government,12th,1.39,5,82035,Karimnagar,Family,Car,4,49025,16402,Yes,Always On Time,82.04,100.0,75.0,6.95,16.67,80.0,80.01,90.0,66.33,331.66,66.33
Gig Worker,Graduate,1.66,3,34606,Adilabad,Own,2W,4,7536,16210,Yes,Sometimes Late,34.61,75.0,85.0,8.3,50.0,80.0,53.16,60.0,55.76,278.79,55.76
Trader,10th,1.61,0,37360,Mancherial,Own,Car,4,17130,12293,Yes,Always On Time,37.36,85.0,65.0,8.05,100.0,80.0,67.1,90.0,66.56,332.82,66.56
Gig Worker,10th,13.59,1,9884,Mahbubnagar,Family,2W,2,5754,1932,Yes,Regularly Late,9.88,75.0,65.0,67.95,83.33,80.0,80.46,60.0,65.2,326.01,65.2
Trader,Postgraduate,15.15,2,60912,Karimnagar,Own,2W,2,34066,26273,Yes,Always On Time,60.91,85.0,100.0,75.75,66.67,80.0,56.87,90.0,76.9,384.5,76.9
Trader,Postgraduate,5.09,0,78675,Medchal,Own,Car,1,23322,36203,No,Regularly Late,78.68,85.0,100.0,25.45,100.0,80.0,53.98,60.0,72.89,364.44,72.89
Gig Worker,Graduate,18.7,4,60839,Warangal,Own,Car,1,33840,28398,Yes,Regularly Late,60.84,75.0,85.0,93.5,33.33,80.0,53.32,60.0,67.62,338.12,67.62
Farmer,Postgraduate,2.93,5,69081,Hyderabad,Rent,None,2,19310,20029,No,Regularly Late,69.08,70.0,100.0,14.65,16.67,80.0,71.01,60.0,60.18,300.88,60.18
Labour,12th,15.67,2,26168,Hyderabad,Rent,Car,2,13267,8912,No,Always On Time,26.17,60.0,75.0,78.35,66.67,80.0,65.94,60.0,64.02,320.08,64.02
Labour,12th,6.85,0,42823,Mancherial,Family,Car,2,13805,5683,No,Always On Time,42.82,60.0,75.0,34.25,100.0,80.0,86.73,60.0,67.35,336.75,67.35
Government,Postgraduate,3.56,0,12712,Nalgonda,Family,Car,4,3815,5522,No,Regularly Late,12.71,100.0,100.0,17.8,100.0,80.0,56.56,60.0,65.88,329.42,65.88
Gig Worker,10th,17.88,2,14551,Medchal,Family,None,2,4514,3862,No,Sometimes Late,14.55,75.0,65.0,89.4,66.67,80.0,73.46,60.0,65.51,327.55,65.51
Farmer,12th,3.29,3,65114,Nalgonda,Own,Car,1,16182,22150,No,Always On Time,65.11,70.0,75.0,16.45,50.0,80.0,65.98,60.0,60.32,301.59,60.32
Gig Worker,12th,16.97,0,19931,Warangal,Family,2W,3,6422,8749,Yes,Sometimes Late,19.93,75.0,75.0,84.85,100.0,80.0,56.11,60.0,68.86,344.3,68.86
Farmer,10th,11.63,2,8219,Medak,Family,2W,3,4103,1419,Yes,Regularly Late,8.22,70.0,65.0,58.15,66.67,80.0,82.74,60.0,61.35,306.73,61.35
Government,Postgraduate,15.9,1,82884,Hyderabad,Rent,Car,1,34319,37436,Yes,Sometimes Late,82.88,100.0,100.0,79.5,83.33,80.0,54.83,60.0,80.07,400.34,80.07
Labour,10th,1.61,3,104147,Siddipet,Own,2W,3,4730,38006,No,Sometimes Late,100.0,60.0,65.0,8.05,50.0,80.0,63.51,60.0,60.82,304.1,60.82
Trader,12th,18.86,5,117484,Nalgonda,Rent,None,2,34845,11777,No,Always On Time,100.0,85.0,75.0,94.3,16.67,80.0,89.98,60.0,75.12,375.59,75.12
Gig Worker,10th,9.79,4,35773,Rangareddy,Own,Car,4,11631,16122,No,Sometimes Late,35.77,75.0,65.0,48.95,33.33,80.0,54.93,60.0,56.62,283.12,56.62
Labour,Graduate,16.82,2,92154,Medak,Family,2W,3,4632,45420,Yes,Always On Time,92.15,60.0,85.0,84.1,66.67,80.0,50.71,90.0,76.08,380.4,76.08
Labour,Postgraduate,11.01,2,38461,Nizamabad,Family,2W,4,7491,2444,Yes,Sometimes Late,38.46,60.0,100.0,55.05,66.67,80.0,93.65,60.0,69.23,346.14,69.23
Gig Worker,Graduate,6.16,3,82411,Medak,Rent,2W,2,21635,40547,Yes,Regularly Late,82.41,75.0,85.0,30.8,50.0,80.0,50.8,60.0,64.25,321.26,64.25
Farmer,Postgraduate,2.49,2,22276,Medak,Own,2W,3,4454,1132,No,Regularly Late,22.28,70.0,100.0,12.45,66.67,80.0,94.92,60.0,63.29,316.44,63.29
Government,12th,17.81,1,15923,Mancherial,Rent,Car,3,5392,5936,No,Regularly Late,15.92,100.0,75.0,89.05,83.33,80.0,62.72,60.0,70.75,353.77,70.75
Gig Worker,10th,13.88,2,21060,Khammam,Family,Car,3,12496,4968,No,Always On Time,21.06,75.0,65.0,69.4,66.67,80.0,76.41,60.0,64.19,320.96,64.19
Trader,Postgraduate,3.82,5,81093,Khammam,Rent,Car,3,8441,30849,No,Regularly Late,81.09,85.0,100.0,19.1,16.67,80.0,61.96,60.0,62.98,314.89,62.98
Government,12th,4.09,5,73738,Nizamabad,Rent,2W,1,4219,3304,Yes,Sometimes Late,73.74,100.0,75.0,20.45,16.67,80.0,95.52,60.0,65.17,325.86,65.17
Trader,Postgraduate,8.69,3,56715,Bhadradri Kothagudem,Family,2W,2,30691,86,Yes,Regularly Late,56.72,85.0,100.0,43.45,50.0,80.0,99.85,60.0,71.88,359.38,71.88
Gig Worker,Graduate,18.51,2,30249,Warangal,Own,2W,2,3550,11067,Yes,Always On Time,30.25,75.0,85.0,92.55,66.67,80.0,63.41,90.0,72.86,364.3,72.86
Labour,10th,17.14,5,109472,Mahbubnagar,Rent,2W,1,49825,38100,No,Regularly Late,100.0,60.0,65.0,85.7,16.67,80.0,65.2,60.0,66.57,332.85,66.57
Farmer,Postgraduate,13.35,2,46449,Hyderabad,Own,Car,3,21164,19996,No,Always On Time,46.45,70.0,100.0,66.75,66.67,80.0,56.95,60.0,68.35,341.76,68.35
Trader,Graduate,0.48,5,25656,Hyderabad,Rent,Car,1,12718,10307,No,Always On Time,25.66,85.0,85.0,2.4,16.67,80.0,59.83,60.0,51.82,259.09,51.82
Gig Worker,12th,7.6,5,32667,Rangareddy,Family,None,3,9345,15087,No,Always On Time,32.67,75.0,75.0,38.0,16.67,80.0,53.82,60.0,53.89,269.47,53.89
Labour,Graduate,16.59,2,69196,Medchal,Rent,2W,1,12999,30223,No,Sometimes Late,69.2,60.0,85.0,82.95,66.67,80.0,56.32,60.0,70.02,350.08,70.02
Government,12th,2.11,5,10594,Adilabad,Rent,Car,3,5310,5219,No,Always On Time,10.59,100.0,75.0,10.55,16.67,80.0,50.74,60.0,50.44,252.22,50.44
Farmer,12th,0.94,3,88601,Bhadradri Kothagudem,Family,Car,4,18524,9897,Yes,Regularly Late,88.6,70.0,75.0,4.7,50.0,80.0,88.83,60.0,64.64,323.21,64.64
Gig Worker,10th,13.73,3,100844,Medchal,Own,2W,4,10380,14129,Yes,Regularly Late,100.0,75.0,65.0,68.65,50.0,80.0,85.99,60.0,73.08,365.4,73.08
Farmer,12th,16.98,2,39674,Rangareddy,Own,2W,1,7498,5904,Yes,Sometimes Late,39.67,70.0,75.0,84.9,66.67,80.0,85.12,60.0,70.17,350.85,70.17
Gig Worker,12th,13.03,1,64267,Siddipet,Own,2W,4,11401,24523,Yes,Sometimes Late,64.27,75.0,75.0,65.15,83.33,80.0,61.84,60.0,70.57,352.87,70.57
Trader,12th,17.18,4,61107,Medchal,Rent,2W,2,8428,22825,Yes,Regularly Late,61.11,85.0,75.0,85.9,33.33,80.0,62.65,60.0,67.87,339.37,67.87
Government,12th,19.72,0,44975,Adilabad,Own,None,1,22188,15088,Yes,Always On Time,44.98,100.0,75.0,98.6,100.0,80.0,66.45,90.0,81.88,409.39,81.88
Labour,10th,2.03,1,48713,Siddipet,Rent,2W,4,23615,20502,No,Sometimes Late,48.71,60.0,65.0,10.15,83.33,80.0,57.91,60.0,58.14,290.69,58.14
Trader,12th,13.34,0,26968,Warangal,Family,Car,1,5649,8137,Yes,Always On Time,26.97,85.0,75.0,66.7,100.0,80.0,69.83,90.0,74.19,370.94,74.19
Farmer,12th,19.26,5,60104,Bhadradri Kothagudem,Own,None,1,7593,22268,Yes,Sometimes Late,60.1,70.0,75.0,96.3,16.67,80.0,62.95,60.0,65.13,325.64,65.13
Government,Graduate,17.06,4,34215,Mancherial,Rent,Car,2,17312,4798,No,Sometimes Late,34.22,100.0,85.0,85.3,33.33,80.0,85.98,60.0,70.48,352.39,70.48
Gig Worker,10th,5.16,1,39808,Warangal,Family,None,3,14756,5695,No,Always On Time,39.81,75.0,65.0,25.8,83.33,80.0,85.69,60.0,64.33,321.65,64.33
Labour,Postgraduate,19.03,1,68700,Rangareddy,Own,None,4,32490,13209,No,Regularly Late,68.7,60.0,100.0,95.15,83.33,80.0,80.77,60.0,78.49,392.47,78.49
Farmer,Postgraduate,6.43,5,76409,Mancherial,Own,None,1,21254,28722,Yes,Sometimes Late,76.41,70.0,100.0,32.15,16.67,80.0,62.41,60.0,62.2,311.02,62.2
Labour,Postgraduate,10.55,5,80879,Nizamabad,Own,None,2,13851,6761,No,Sometimes Late,80.88,60.0,100.0,52.75,16.67,80.0,91.64,60.0,67.74,338.71,67.74
Government,Postgraduate,0.72,2,8830,Nalgonda,Family,None,2,4729,1783,No,Sometimes Late,8.83,100.0,100.0,3.6,66.67,80.0,79.81,60.0,62.36,311.82,62.36
Government,Postgraduate,10.07,4,20186,Rangareddy,Rent,2W,3,11542,4760,Yes,Always On Time,20.19,100.0,100.0,50.35,33.33,80.0,76.42,90.0,68.79,343.93,68.79
Government,10th,18.96,3,23446,Warangal,Family,Car,4,12196,8335,Yes,Regularly Late,23.45,100.0,65.0,94.8,50.0,80.0,64.45,60.0,67.21,336.06,67.21
Labour,12th,7.99,2,45032,Hyderabad,Own,2W,3,11955,2983,Yes,Regularly Late,45.03,60.0,75.0,39.95,66.67,80.0,93.38,60.0,65.0,325.02,65.0
Farmer,Graduate,13.62,0,89295,Jagtial,Family,2W,2,21824,29794,No,Regularly Late,89.3,70.0,85.0,68.1,100.0,80.0,66.63,60.0,77.38,386.89,77.38
Farmer,Postgraduate,10.34,4,15033,Mahbubnagar,Family,2W,1,7829,10,Yes,Sometimes Late,15.03,70.0,100.0,51.7,33.33,80.0,99.93,60.0,63.75,318.75,63.75
Farmer,12th,6.39,4,103309,Nizamabad,Rent,None,3,18115,4586,Yes,Regularly Late,100.0,70.0,75.0,31.95,33.33,80.0,95.56,60.0,68.23,341.15,68.23
Gig Worker,12th,15.42,2,103927,Khammam,Family,None,3,13283,22724,No,Regularly Late,100.0,75.0,75.0,77.1,66.67,80.0,78.13,60.0,76.49,382.44,76.49
Gig Worker,12th,1.2,1,41084,Bhadradri Kothagudem,Own,2W,1,4391,6701,No,Sometimes Late,41.08,75.0,75.0,6.0,83.33,80.0,83.69,60.0,63.01,315.07,63.01
Gig Worker,Postgraduate,1.02,0,27335,Mancherial,Own,None,2,3302,2340,No,Always On Time,27.33,75.0,100.0,5.1,100.0,80.0,91.44,60.0,67.36,336.8,67.36
Labour,Graduate,15.19,1,42364,Kamareddy,Family,2W,1,12280,3247,Yes,Regularly Late,42.36,60.0,85.0,75.95,83.33,80.0,92.34,60.0,72.37,361.86,72.37
Farmer,Postgraduate,12.09,2,78177,Karimnagar,Family,2W,2,4804,10407,Yes,Sometimes Late,78.18,70.0,100.0,60.45,66.67,80.0,86.69,60.0,75.25,376.24,75.25
Gig Worker,12th,8.52,3,25868,Adilabad,Family,2W,3,12668,7154,Yes,Sometimes Late,25.87,75.0,75.0,42.6,50.0,80.0,72.35,60.0,60.1,300.51,60.1
Farmer,12th,12.58,1,102101,Mancherial,Own,None,3,19346,41054,No,Regularly Late,100.0,70.0,75.0,62.9,83.33,80.0,59.79,60.0,73.88,369.39,73.88
Government,Postgraduate,13.87,2,82185,Siddipet,Rent,Car,1,23164,25354,Yes,Sometimes Late,82.18,100.0,100.0,69.35,66.67,80.0,69.15,60.0,78.42,392.1,78.42
Farmer,Postgraduate,11.71,3,111310,Rangareddy,Rent,None,3,52295,261,Yes,Sometimes Late,100.0,70.0,100.0,58.55,50.0,80.0,99.77,60.0,77.29,386.45,77.29
Labour,Graduate,12.41,3,82046,Adilabad,Own,2W,1,36707,19194,Yes,Regularly Late,82.05,60.0,85.0,62.05,50.0,80.0,76.61,60.0,69.46,347.31,69.46
Gig Worker,10th,2.45,4,73322,Nalgonda,Rent,Car,4,16068,34146,Yes,Always On Time,73.32,75.0,65.0,12.25,33.33,80.0,53.43,90.0,60.29,301.46,60.29
Labour,12th,2.7,5,119774,Rangareddy,Family,Car,2,24912,11964,Yes,Sometimes Late,100.0,60.0,75.0,13.5,16.67,80.0,90.01,60.0,61.9,309.49,61.9
Trader,10th,8.0,1,73743,Nalgonda,Family,None,2,43181,13041,Yes,Always On Time,73.74,85.0,65.0,40.0,83.33,80.0,82.32,90.0,74.92,374.62,74.92
Farmer,Graduate,18.82,5,90892,Kamareddy,Own,Car,2,29339,40406,No,Always On Time,90.89,70.0,85.0,94.1,16.67,80.0,55.55,60.0,69.03,345.13,69.03
Labour,Postgraduate,18.76,5,61299,Mahbubnagar,Own,2W,2,18313,2069,Yes,Always On Time,61.3,60.0,100.0,93.8,16.67,80.0,96.62,90.0,74.8,373.99,74.8
